date,Eteläesplanadi,Kaivokatu,Kuusisaarentie,Merikannontie
2014-04-29,1975,,,
2014-04-30,1776,,,
2014-05-01,590,,,
2014-05-02,1272,,,
2014-05-03,777,,,
2014-05-04,580,,,
2014-05-05,1244,,,
2014-05-06,2009,,,
2014-05-07,2146,,,
2014-05-08,833,,,
2014-05-09,1115,,,
2014-05-10,807,,,
2014-05-11,745,,,
2014-05-12,1778,,,
2014-05-13,1348,,,
2014-05-14,2289,,,
2014-05-15,2367,,,
2014-05-16,1883,,,
2014-05-17,1701,,,
2014-05-18,1387,,,
2014-05-19,2713,,,
2014-05-20,2926,,,
2014-05-21,1987,,,
2014-05-22,3121,,,
2014-05-23,3006,,,
2014-05-24,1913,,,
2014-05-25,1770,,,
2014-05-26,3117,,,
2014-05-27,1813,,,
2014-05-28,1636,,,
2014-05-29,512,,,
2014-05-30,1675,,,
2014-05-31,1068,,,
2014-06-01,1158,,,
2014-06-02,2549,,,
2014-06-03,2019,,,
2014-06-04,3237,,,
2014-06-05,3271,,,
2014-06-06,2742,,,
2014-06-07,1570,,,
2014-06-08,1353,,,
2014-06-09,3123,,,
2014-06-10,2660,,,
2014-06-11,3305,,,
2014-06-12,1156,,,
2014-06-13,1257,,,
2014-06-14,1246,,,
2014-06-15,1262,,,
2014-06-16,2231,,,
2014-06-17,2275,,,
2014-06-18,2071,,,
2014-06-19,1790,,,
2014-06-20,616,,,
2014-06-21,514,,,
2014-06-22,373,,,
2014-06-23,1955,,,
2014-06-24,1771,,,
2014-06-25,2287,,,
2014-06-26,2193,,,
2014-06-27,2161,,,
2014-06-28,1824,,,
2014-06-29,372,,,
2014-06-30,1383,,,
2014-07-01,1703,,,
2014-07-02,2126,,,
2014-07-03,2160,,,
2014-07-04,2022,,,
2014-07-05,1537,,,
2014-07-06,1288,,,
2014-07-07,2331,,,
2014-07-08,2622,,,
2014-07-09,2706,,,
2014-07-10,2172,,,
2014-07-11,2080,,,
2014-07-12,1464,,,
2014-07-13,1221,,,
2014-07-14,1897,,,
2014-07-15,2039,,,
2014-07-16,2066,,,
2014-07-17,2192,,,
2014-07-18,1987,,,
2014-07-19,1487,,,
2014-07-20,1181,,,
2014-07-21,2263,,,
2014-07-22,2491,,,
2014-07-23,2565,,,
2014-07-24,2359,,,
2014-07-25,2275,,,
2014-07-26,1860,,,
2014-07-27,1448,,,
2014-07-28,2608,,,
2014-07-29,2564,,,
2014-07-30,2708,,,
2014-07-31,2422,,,
2014-08-01,2524,,,
2014-08-02,1727,,,
2014-08-03,1520,,,
2014-08-04,3121,,,
2014-08-05,3466,,,
2014-08-06,3501,,,
2014-08-07,3097,,,
2014-08-08,3177,,,
2014-08-09,2214,,,
2014-08-10,2134,,,
2014-08-11,2997,,,
2014-08-12,2938,,,
2014-08-13,2815,,,
2014-08-14,2855,,,
2014-08-15,2857,,,
2014-08-16,1734,,,
2014-08-17,1871,,,
2014-08-18,1698,,,
2014-08-19,1982,,,
2014-08-20,2046,,,
2014-08-21,2888,,,
2014-08-22,2365,,,
2014-08-23,972,,,
2014-08-24,1218,,,
2014-08-25,1312,,,
2014-08-26,1745,,,
2014-08-27,1967,,,
2014-08-28,2065,,,
2014-08-29,2004,,,
2014-08-30,1462,,,
2014-08-31,1049,,,
2014-09-01,2415,,,
2014-09-02,2567,,,
2014-09-03,2721,,,
2014-09-04,2574,,,
2014-09-05,2531,,,
2014-09-06,1453,,,
2014-09-07,1192,,,
2014-09-08,2604,,,
2014-09-09,2279,,,
2014-09-10,2331,,,
2014-09-11,2531,,,
2014-09-12,2299,,,
2014-09-13,1154,,,
2014-09-14,1350,,,
2014-09-15,2504,,,
2014-09-16,2613,,,
2014-09-17,2444,,,
2014-09-18,2468,,,
2014-09-19,2204,,,
2014-09-20,1409,,,
2014-09-21,1029,,,
2014-09-22,1618,,,
2014-09-23,2418,,,
2014-09-24,1875,,,
2014-09-25,1092,,,
2014-09-26,1595,,,
2014-09-27,1030,,,
2014-09-28,810,,,
2014-09-29,2115,,,
2014-09-30,2099,,,
2014-10-01,2008,,,
2014-10-02,1947,,,
2014-10-03,1881,,,
2014-10-04,776,,,
2014-10-05,768,,,
2014-10-06,1785,,,
2014-10-07,1908,,,
2014-10-08,1347,,,
2014-10-09,1604,,,
2014-10-10,1310,,,
2014-10-11,1004,,,
2014-10-12,632,,,
2014-10-13,1455,,,
2014-10-14,1411,,,
2014-10-15,1490,,,217
2014-10-16,1306,,,1177
2014-10-17,1138,,,1183
2014-10-18,676,,,810
2014-10-19,169,,,254
2014-10-20,1293,,,1568
2014-10-21,1278,,,1434
2014-10-22,1175,,,1226
2014-10-23,861,,,1019
2014-10-24,819,,,920
2014-10-25,465,,,454
2014-10-26,301,,,432
2014-10-27,1089,,,1406
2014-10-28,1348,,,
2014-10-29,1276,,,1433
2014-10-30,1430,,,1636
2014-10-31,1259,,,1233
2014-11-01,493,,,914
2014-11-02,217,,,287
2014-11-03,869,,,1072
2014-11-04,1035,,,1285
2014-11-05,1211,,,1369
2014-11-06,686,,,822
2014-11-07,764,,,842
2014-11-08,469,,,465
2014-11-09,379,,,578
2014-11-10,1115,,,1270
2014-11-11,962,,,1138
2014-11-12,1251,,,1269
2014-11-13,1174,,,1204
2014-11-14,1014,,,945
2014-11-15,441,,,455
2014-11-16,353,,,705
2014-11-17,1138,,,1256
2014-11-18,1047,,,1300
2014-11-19,1113,,,1208
2014-11-20,1101,,,1113
2014-11-21,666,,,722
2014-11-22,189,,,139
2014-11-23,154,,,173
2014-11-24,826,,,801
2014-11-25,823,,,898
2014-11-26,880,,,971
2014-11-27,938,,,991
2014-11-28,775,,,804
2014-11-29,314,,,321
2014-11-30,266,,,405
2014-12-01,815,,,855
2014-12-02,808,,,928
2014-12-03,950,,,998
2014-12-04,938,,,957
2014-12-05,808,,,776
2014-12-06,228,,,232
2014-12-07,247,,,401
2014-12-08,592,,,661
2014-12-09,930,,,975
2014-12-10,767,,,725
2014-12-11,984,,,761
2014-12-12,697,,,595
2014-12-13,302,,,199
2014-12-14,286,,,357
2014-12-15,714,,,696
2014-12-16,796,,,828
2014-12-17,706,,,644
2014-12-18,665,,,614
2014-12-19,502,,,433
2014-12-20,369,,,333
2014-12-21,185,,,236
2014-12-22,275,,,235
2014-12-23,134,,,133
2014-12-24,25,,,42
2014-12-25,26,,,27
2014-12-26,34,,,71
2014-12-27,66,,,66
2014-12-28,44,,,72
2014-12-29,145,,,149
2014-12-30,163,,,111
2014-12-31,196,,,124
2015-01-01,77,,,75
2015-01-02,189,,,149
2015-01-03,138,,,113
2015-01-04,86,,,138
2015-01-05,227,,,254
2015-01-06,70,,,153
2015-01-07,380,,,453
2015-01-08,325,,,352
2015-01-09,412,,,382
2015-01-10,144,,,164
2015-01-11,39,,,49
2015-01-12,229,,,259
2015-01-13,263,,,210
2015-01-14,278,,,326
2015-01-15,331,,,345
2015-01-16,220,,,174
2015-01-17,126,,,96
2015-01-18,140,,,161
2015-01-19,361,,,433
2015-01-20,325,,,411
2015-01-21,362,,,398
2015-01-22,320,,,353
2015-01-23,293,,,345
2015-01-24,148,,,103
2015-01-25,102,,,149
2015-01-26,365,,,433
2015-01-27,403,,,463
2015-01-28,400,,,447
2015-01-29,433,,,421
2015-01-30,398,,,402
2015-01-31,157,,,115
2015-02-01,52,,,43
2015-02-02,304,,,213
2015-02-03,309,,,219
2015-02-04,331,,,280
2015-02-05,377,,,297
2015-02-06,308,,,304
2015-02-07,155,,,127
2015-02-08,77,,,92
2015-02-09,295,,,339
2015-02-10,392,,,423
2015-02-11,427,,,420
2015-02-12,443,,,399
2015-02-13,377,,,357
2015-02-14,182,,,107
2015-02-15,167,,,242
2015-02-16,381,,,196
2015-02-17,364,,,84
2015-02-18,385,,,59
2015-02-19,387,,,19
2015-02-20,360,,,112
2015-02-21,217,,,92
2015-02-22,140,,,111
2015-02-23,465,,,89
2015-02-24,477,,,35
2015-02-25,600,,,29
2015-02-26,574,,,196
2015-02-27,537,,,356
2015-02-28,315,,,248
2015-03-01,217,,,279
2015-03-02,591,,,145
2015-03-03,545,,,20
2015-03-04,600,,,64
2015-03-05,710,,,169
2015-03-06,492,,,376
2015-03-07,265,,,215
2015-03-08,229,,,217
2015-03-09,858,,,189
2015-03-10,814,,,6
2015-03-11,942,,,8
2015-03-12,988,,,387
2015-03-13,896,,,643
2015-03-14,588,,,792
2015-03-15,439,,,1194
2015-03-16,1113,,,1089
2015-03-17,1181,,,1219
2015-03-18,1259,,,1352
2015-03-19,1226,,,1277
2015-03-20,1013,,,967
2015-03-21,563,,,487
2015-03-22,354,,,365
2015-03-23,632,,,528
2015-03-24,1074,,,974
2015-03-25,748,,,814
2015-03-26,903,,,876
2015-03-27,636,,,611
2015-03-28,298,,,291
2015-03-29,379,,,
2015-03-30,363,,,374
2015-03-31,551,,,481
2015-04-01,817,,,777
2015-04-02,565,,,592
2015-04-03,273,,,533
2015-04-04,275,,,329
2015-04-05,226,,,494
2015-04-06,496,,,1412
2015-04-07,1114,,,1306
2015-04-08,1208,,,1378
2015-04-09,1363,,,1655
2015-04-10,1310,,,1533
2015-04-11,1023,,,2055
2015-04-12,469,,,814
2015-04-13,1524,,,2019
2015-04-14,1444,,,1687
2015-04-15,1590,,,1825
2015-04-16,1341,,,1601
2015-04-17,1074,,,1225
2015-04-18,684,,,989
2015-04-19,661,,,1176
2015-04-20,1619,,,2241
2015-04-21,1861,,,2539
2015-04-22,1911,,,1848
2015-04-23,1563,,,1499
2015-04-24,1665,,,1867
2015-04-25,1038,,,1769
2015-04-26,321,,,502
2015-04-27,1440,,,1748
2015-04-28,1791,,,2367
2015-04-29,695,,,825
2015-04-30,1380,,,1584
2015-05-01,800,,,1136
2015-05-02,327,,,329
2015-05-03,855,,,1993
2015-05-04,2076,,,2774
2015-05-05,1837,,,2228
2015-05-06,1335,,,1482
2015-05-07,1778,,,2084
2015-05-08,2951,,1458,2022
2015-05-09,1068,,717,1415
2015-05-10,835,,950,1776
2015-05-11,2095,,1987,2831
2015-05-12,1948,,1546,2195
2015-05-13,1108,,774,1058
2015-05-14,768,,933,1615
2015-05-15,1761,,1215,1986
2015-05-16,1250,,832,1433
2015-05-17,1008,,1258,2359
2015-05-18,1614,,1729,2144
2015-05-19,2545,,2260,3339
2015-05-20,2465,,2169,3195
2015-05-21,1537,,1280,1987
2015-05-22,2560,,2109,3094
2015-05-23,1168,,513,1074
2015-05-24,920,,1146,1723
2015-05-25,2449,,2377,3349
2015-05-26,2746,,2415,3616
2015-05-27,2793,,2553,3576
2015-05-28,2810,,2418,3676
2015-05-29,2083,,1748,2304
2015-05-30,1350,,908,1948
2015-05-31,1053,,1078,2019
2015-06-01,2263,,1881,2513
2015-06-02,2704,,2530,3658
2015-06-03,1983,,1466,2130
2015-06-04,2760,,2221,3397
2015-06-05,2470,,1949,2914
2015-06-06,1223,,840,1565
2015-06-07,1046,,1316,2222
2015-06-08,2324,,2013,2862
2015-06-09,2876,,2493,3789
2015-06-10,2846,,2189,3211
2015-06-11,2804,,2234,3421
2015-06-12,2753,,1584,2745
2015-06-13,1806,,1201,2839
2015-06-14,487,,285,494
2015-06-15,2140,,1788,2795
2015-06-16,2550,,1988,3070
2015-06-17,2626,,2209,3123
2015-06-18,885,,698,1048
2015-06-19,551,,662,1337
2015-06-20,446,,510,1132
2015-06-21,780,,1244,2175
2015-06-22,1537,,1366,2147
2015-06-23,2484,,2278,3324
2015-06-24,1195,,782,1359
2015-06-25,2278,,1957,2770
2015-06-26,1979,,1687,2395
2015-06-27,1414,,932,2022
2015-06-28,1331,,1436,2979
2015-06-29,2763,,3472,4448
2015-06-30,2460,,2698,3111
2015-07-01,2822,,3240,4061
2015-07-02,2860,,3380,4577
2015-07-03,2626,,2450,4102
2015-07-04,1812,,1276,3061
2015-07-05,1410,,1567,2672
2015-07-06,2004,,1921,2663
2015-07-07,1684,,1161,1839
2015-07-08,1606,,1416,1890
2015-07-09,2100,,1617,2632
2015-07-10,1503,,1119,1816
2015-07-11,1328,,865,1851
2015-07-12,654,,547,946
2015-07-13,1842,,1523,2452
2015-07-14,2058,,1747,2936
2015-07-15,2470,,2106,3744
2015-07-16,1942,,1461,2426
2015-07-17,1330,,763,1501
2015-07-18,1143,,834,1692
2015-07-19,955,,864,1733
2015-07-20,1652,,1274,2168
2015-07-21,2215,,2102,3673
2015-07-22,1301,,936,1594
2015-07-23,1645,,1215,1756
2015-07-24,1849,,1188,2078
2015-07-25,1497,,1294,2589
2015-07-26,596,,435,853
2015-07-27,2009,,1675,2744
2015-07-28,2272,,2079,3701
2015-07-29,2368,,2016,3176
2015-07-30,1900,,1173,2126
2015-07-31,1358,,892,1506
2015-08-01,1489,,1197,2345
2015-08-02,1222,,1058,2297
2015-08-03,2763,,2360,3980
2015-08-04,3139,,2892,4773
2015-08-05,3247,,2784,4807
2015-08-06,2546,,1857,3295
2015-08-07,2979,,2202,4304
2015-08-08,1666,,1070,2387
2015-08-09,1596,,1753,4294
2015-08-10,3336,,3156,5466
2015-08-11,3662,,3547,5802
2015-08-12,3374,,2917,4403
2015-08-13,3708,,2827,4856
2015-08-14,3708,,2330,3629
2015-08-15,2498,,984,3221
2015-08-16,2493,,1546,3450
2015-08-17,3384,,3132,4736
2015-08-18,3488,,3254,5205
2015-08-19,3513,,3138,4789
2015-08-20,4036,,2885,4522
2015-08-21,3186,,2465,3942
2015-08-22,2139,,1439,3210
2015-08-23,1627,,1851,3852
2015-08-24,3297,,3247,4966
2015-08-25,3700,,3296,5167
2015-08-26,2539,,2075,2921
2015-08-27,3378,,2598,3836
2015-08-28,1306,,954,1770
2015-08-29,1976,,1024,1935
2015-08-30,1062,,1029,1617
2015-08-31,3077,,2743,3972
2015-09-01,3004,,2671,3796
2015-09-02,2247,,1829,2524
2015-09-03,1719,,1276,1879
2015-09-04,2668,,1915,2817
2015-09-05,862,,346,746
2015-09-06,945,,731,1603
2015-09-07,1909,,1666,2213
2015-09-08,2559,,2121,3166
2015-09-09,2757,,2342,3431
2015-09-10,2790,,2261,3411
2015-09-11,2582,,1914,2896
2015-09-12,1551,,865,1858
2015-09-13,1064,,1035,1831
2015-09-14,2535,,2333,3196
2015-09-15,2296,,1909,2610
2015-09-16,1787,,1400,1992
2015-09-17,2228,,1734,2528
2015-09-18,2886,,2231,3582
2015-09-19,1134,,505,858
2015-09-20,1032,,885,1557
2015-09-21,1770,,1299,2004
2015-09-22,2455,,1871,2998
2015-09-23,2477,,1911,2857
2015-09-24,2414,,1821,2795
2015-09-25,2206,,1564,2350
2015-09-26,1313,,712,1561
2015-09-27,964,,922,1631
2015-09-28,2054,,1797,2653
2015-09-29,2342,,1934,2959
2015-09-30,2323,,1851,2660
2015-10-01,1991,,1552,1510
2015-10-02,1837,,1263,1265
2015-10-03,1078,,691,821
2015-10-04,886,,666,693
2015-10-05,2098,,1724,1629
2015-10-06,2012,,1592,1498
2015-10-07,1882,,1393,1327
2015-10-08,1739,,1274,1292
2015-10-09,1522,,1064,996
2015-10-10,725,,388,476
2015-10-11,629,,605,563
2015-10-12,1594,,1407,1241
2015-10-13,1740,,1344,1324
2015-10-14,1825,,1304,1202
2015-10-15,1666,,1156,1209
2015-10-16,1427,,981,980
2015-10-17,822,,471,523
2015-10-18,676,,599,597
2015-10-19,1784,,1392,1414
2015-10-20,1855,,1296,1390
2015-10-21,1761,,1197,1263
2015-10-22,1395,,898,924
2015-10-23,1124,,657,839
2015-10-24,812,,585,588
2015-10-25,423,,324,352
2015-10-26,1633,,1327,1310
2015-10-27,1696,,1205,1277
2015-10-28,1537,,992,1075
2015-10-29,1572,,1042,1097
2015-10-30,1489,,889,870
2015-10-31,525,,386,471
2015-11-01,514,,421,434
2015-11-02,1544,,1220,1183
2015-11-03,1809,,1343,1355
2015-11-04,1716,,1169,1198
2015-11-05,1646,,1055,1161
2015-11-06,1397,,836,928
2015-11-07,531,,290,366
2015-11-08,249,,113,151
2015-11-09,1287,,920,937
2015-11-10,1431,,938,1023
2015-11-11,1256,,858,917
2015-11-12,1192,,730,777
2015-11-13,1215,,750,876
2015-11-14,606,,314,419
2015-11-15,492,,407,426
2015-11-16,1096,,826,832
2015-11-17,953,,605,703
2015-11-18,1149,,681,836
2015-11-19,1030,,723,774
2015-11-20,855,,507,577
2015-11-21,519,,222,297
2015-11-22,311,,193,222
2015-11-23,986,,642,634
2015-11-24,821,,591,559
2015-11-25,1009,,585,701
2015-11-26,948,,543,622
2015-11-27,742,,415,472
2015-11-28,360,,148,203
2015-11-29,366,,296,294
2015-11-30,719,,462,501
2015-12-01,1045,,599,689
2015-12-02,1052,,640,704
2015-12-03,872,,439,621
2015-12-04,661,,339,406
2015-12-05,376,,157,198
2015-12-06,197,,88,140
2015-12-07,900,,589,700
2015-12-08,1109,,617,792
2015-12-09,846,,457,587
2015-12-10,882,,463,616
2015-12-11,869,,462,559
2015-12-12,425,,162,259
2015-12-13,291,,145,189
2015-12-14,819,,412,565
2015-12-15,839,,415,554
2015-12-16,841,,457,582
2015-12-17,698,,359,436
2015-12-18,661,,292,410
2015-12-19,491,,199,257
2015-12-20,326,,127,187
2015-12-21,874,,383,566
2015-12-22,822,,332,499
2015-12-23,549,,209,307
2015-12-24,129,,125,168
2015-12-25,90,,109,81
2015-12-26,135,,143,128
2015-12-27,92,,68,99
2015-12-28,304,,197,235
2015-12-29,309,,183,262
2015-12-30,369,,197,269
2015-12-31,300,,143,177
2016-01-01,112,,70,139
2016-01-02,155,,57,127
2016-01-03,102,,58,151
2016-01-04,276,,250,330
2016-01-05,270,,148,243
2016-01-06,93,,34,88
2016-01-07,209,,135,214
2016-01-08,227,,142,218
2016-01-09,228,,50,108
2016-01-10,210,,61,119
2016-01-11,273,,282,361
2016-01-12,124,,154,146
2016-01-13,248,,222,250
2016-01-14,270,,274,362
2016-01-15,235,,212,321
2016-01-16,91,,41,90
2016-01-17,79,,74,126
2016-01-18,282,,258,361
2016-01-19,244,,288,340
2016-01-20,267,,271,312
2016-01-21,257,,224,288
2016-01-22,213,,164,233
2016-01-23,115,,71,124
2016-01-24,70,,29,33
2016-01-25,262,,266,288
2016-01-26,178,,214,157
2016-01-27,216,,178,171
2016-01-28,225,,210,261
2016-01-29,251,,239,287
2016-01-30,178,,88,155
2016-01-31,140,,102,187
2016-02-01,400,,396,507
2016-02-02,305,,199,317
2016-02-03,274,,288,277
2016-02-04,325,,365,346
2016-02-05,263,,310,321
2016-02-06,123,,82,100
2016-02-07,132,,88,113
2016-02-08,374,,339,434
2016-02-09,403,,288,393
2016-02-10,389,,309,421
2016-02-11,353,,278,375
2016-02-12,320,,225,281
2016-02-13,192,,92,163
2016-02-14,136,,52,87
2016-02-15,438,,370,471
2016-02-16,506,,429,539
2016-02-17,485,,394,555
2016-02-18,447,,314,447
2016-02-19,402,,287,341
2016-02-20,153,,61,64
2016-02-21,119,,48,24
2016-02-22,313,,254,333
2016-02-23,352,,324,389
2016-02-24,378,,311,396
2016-02-25,429,,322,369
2016-02-26,370,,259,312
2016-02-27,161,,99,157
2016-02-28,164,,119,191
2016-02-29,494,,450,530
2016-03-01,571,,440,608
2016-03-02,554,,398,510
2016-03-03,517,,372,469
2016-03-04,477,,392,489
2016-03-05,242,,152,200
2016-03-06,151,,137,214
2016-03-07,398,,327,469
2016-03-08,532,,420,578
2016-03-09,589,,432,627
2016-03-10,599,,473,619
2016-03-11,573,,403,619
2016-03-12,413,,313,583
2016-03-13,279,,317,584
2016-03-14,776,,656,863
2016-03-15,856,,691,944
2016-03-16,891,,731,1075
2016-03-17,872,,681,937
2016-03-18,478,,362,485
2016-03-19,322,,134,259
2016-03-20,236,,182,363
2016-03-21,580,,509,676
2016-03-22,674,,557,742
2016-03-23,750,,511,794
2016-03-24,635,,446,649
2016-03-25,212,,154,262
2016-03-26,225,,188,291
2016-03-27,238,,341,577
2016-03-28,407,,632,1119
2016-03-29,1102,,1064,1536
2016-03-30,1057,,828,1298
2016-03-31,1150,,981,1340
2016-04-01,1274,,882,1263
2016-04-02,810,,747,1533
2016-04-03,333,,336,535
2016-04-04,1316,,1263,1807
2016-04-05,1217,,1166,1564
2016-04-06,1191,,926,1365
2016-04-07,1248,,1045,1549
2016-04-08,1213,,1082,1470
2016-04-09,582,,421,706
2016-04-10,680,,1002,1934
2016-04-11,1610,,1626,2310
2016-04-12,1703,,1589,2518
2016-04-13,1822,,1623,2597
2016-04-14,1687,,1388,2032
2016-04-15,1494,,1204,1766
2016-04-16,908,,865,1690
2016-04-17,429,,313,668
2016-04-18,1573,,1463,2098
2016-04-19,1389,,1222,1936
2016-04-20,1428,,1205,1857
2016-04-21,1759,,1448,2196
2016-04-22,1285,,984,1491
2016-04-23,649,,397,784
2016-04-24,539,,633,1098
2016-04-25,1298,,1119,1868
2016-04-26,874,,661,1044
2016-04-27,1589,,1319,2078
2016-04-28,1471,,1275,1689
2016-04-29,1656,,1471,2219
2016-04-30,905,,704,1341
2016-05-01,1066,,940,2356
2016-05-02,2352,,2200,3458
2016-05-03,2659,,2560,3110
2016-05-04,2639,,2192,2886
2016-05-05,1569,,1757,3945
2016-05-06,2259,,1492,3071
2016-05-07,1585,,1222,2663
2016-05-08,1196,,1324,2949
2016-05-09,2927,,2794,4381
2016-05-10,3289,,3072,4852
2016-05-11,2844,,2531,3535
2016-05-12,2919,,2129,3665
2016-05-13,2777,,2122,3329
2016-05-14,748,,396,777
2016-05-15,1055,,1003,1989
2016-05-16,1982,,1800,2894
2016-05-17,2871,,2567,3997
2016-05-18,2948,,2544,3989
2016-05-19,2965,,2342,3536
2016-05-20,2895,,2124,3416
2016-05-21,1963,,1117,2410
2016-05-22,1719,,1571,3154
2016-05-23,3134,,3016,4565
2016-05-24,3387,,3193,5285
2016-05-25,3420,,3287,5303
2016-05-26,2533,,2001,2985
2016-05-27,3080,,2290,3640
2016-05-28,1565,,910,1727
2016-05-29,1436,,1414,2535
2016-05-30,3381,,3325,5332
2016-05-31,3619,,3311,5560
2016-06-01,3817,,3373,5839
2016-06-02,3004,,2478,3866
2016-06-03,3168,,2434,4132
2016-06-04,1647,,1039,2088
2016-06-05,1070,,887,1630
2016-06-06,2916,,2504,3725
2016-06-07,3117,,2732,4374
2016-06-08,1587,,1187,2018
2016-06-09,2420,,1791,2840
2016-06-10,2210,,1557,2435
2016-06-11,1504,,807,1683
2016-06-12,1821,,1239,2373
2016-06-13,2945,,2562,4196
2016-06-14,3299,,2829,4896
2016-06-15,3389,,3023,4655
2016-06-16,1075,,782,1248
2016-06-17,1557,,1203,1995
2016-06-18,342,,154,342
2016-06-19,732,,598,1134
2016-06-20,2920,,2397,3989
2016-06-21,3264,,2662,4527
2016-06-22,2980,,2360,3886
2016-06-23,2111,,1390,2418
2016-06-24,678,,519,1158
2016-06-25,909,,901,2195
2016-06-26,927,,955,1955
2016-06-27,1261,,1095,1505
2016-06-28,2996,,2462,4499
2016-06-29,3181,,2546,4521
2016-06-30,2723,,2014,3549
2016-07-01,2764,,2021,3613
2016-07-02,1914,,1209,2999
2016-07-03,873,,556,1022
2016-07-04,1512,,1038,1826
2016-07-05,2132,,1563,2655
2016-07-06,2433,,1889,3380
2016-07-07,1142,,745,1233
2016-07-08,1962,,1264,2425
2016-07-09,1592,,1064,2536
2016-07-10,935,,667,1427
2016-07-11,1662,,1312,2212
2016-07-12,2185,,1643,3109
2016-07-13,2332,,1796,3368
2016-07-14,2497,,1838,3583
2016-07-15,751,,478,877
2016-07-16,1405,,954,1967
2016-07-17,1033,,752,1540
2016-07-18,2049,,1524,3011
2016-07-19,2467,,1865,3868
2016-07-20,2285,,1900,3695
2016-07-21,2134,,1442,2578
2016-07-22,1797,,1143,2108
2016-07-23,1358,,693,1691
2016-07-24,1480,,1249,2852
2016-07-25,2562,,1794,4041
2016-07-26,2668,,2092,3933
2016-07-27,2694,,1965,3900
2016-07-28,2159,,1531,3010
2016-07-29,2240,,1360,3027
2016-07-30,1856,,1223,2610
2016-07-31,1323,,897,1913
2016-08-01,2508,,1985,3803
2016-08-02,2839,,2097,4029
2016-08-03,3005,,2154,4520
2016-08-04,2194,,1355,2897
2016-08-05,2670,,1513,3492
2016-08-06,1588,,860,2005
2016-08-07,1541,,1201,2423
2016-08-08,2856,,2334,4262
2016-08-09,2919,,2100,2332
2016-08-10,2846,,2198,3471
2016-08-11,3205,,2093,3520
2016-08-12,2867,,1895,3153
2016-08-13,1114,,314,759
2016-08-14,1538,,846,1690
2016-08-15,3044,,2532,4034
2016-08-16,1751,,1331,1918
2016-08-17,2104,,1667,2712
2016-08-18,2094,,1344,2186
2016-08-19,2761,,2092,3047
2016-08-20,1920,,1236,2782
2016-08-21,1502,,1405,2697
2016-08-22,2077,,1979,2805
2016-08-23,3058,,2473,4038
2016-08-24,3004,,2484,4026
2016-08-25,3375,,1944,3431
